threshold,fpr,tpr
4.60768127,0.00000000,0.52916667
4.60531902,0.00000000,0.53000000
4.60426712,0.00000000,0.53083333
4.60288620,0.00000000,0.53166667
4.60240889,0.00000000,0.53250000
4.59985781,0.00000000,0.53333333
4.59648275,0.00000000,0.53416667
4.59163618,0.00000000,0.53500000
4.58758020,0.00000000,0.53583333
4.58609629,0.00000000,0.53666667
4.58179903,0.00000000,0.53750000
4.58030081,0.00000000,0.53833333
4.56623793,0.00000000,0.53916667
4.56441402,0.00000000,0.54000000
4.54756927,0.00000000,0.54083333
4.54729843,0.00000000,0.54166667
4.54059696,0.00000000,0.54250000
4.53305149,0.00000000,0.54333333
4.53265619,0.00000000,0.54416667
4.53227282,0.00000000,0.54500000
4.53133535,0.00000000,0.54583333
4.53048325,0.00000000,0.54666667
4.52775192,0.00000000,0.54750000
4.52717447,0.00000000,0.54833333
4.52555466,0.00000000,0.54916667
4.52049875,0.00000000,0.55000000
4.51742697,0.00000000,0.55083333
4.51659727,0.00000000,0.55166667
4.50489950,0.00000000,0.55250000
4.49810648,0.00000000,0.55333333
4.48237848,0.00000000,0.55416667
4.47800016,0.00000000,0.55500000
4.47621250,0.00000000,0.55583333
4.46773958,0.00000000,0.55666667
4.46216488,0.00000000,0.55750000
4.46213484,0.00000000,0.55833333
4.45703793,0.00000000,0.55916667
4.45152140,0.00000000,0.56000000
4.44693708,0.00000000,0.56083333
4.44579649,0.00000000,0.56166667
4.44062710,0.00000000,0.56250000
4.43324137,0.00000000,0.56333333
4.42918682,0.00000000,0.56416667
4.42674303,0.00000000,0.56500000
4.42145967,0.00000000,0.56583333
4.41702080,0.00000000,0.56666667
4.41666365,0.00000000,0.56750000
4.41525650,0.00000000,0.56833333
4.40732241,0.00000000,0.56916667
4.40219402,0.00000000,0.57000000
4.39924622,0.00000000,0.57083333
4.39388752,0.00000000,0.57166667
4.38426733,0.00000000,0.57250000
4.38167286,0.00000000,0.57333333
4.37522078,0.00000000,0.57416667
4.36791277,0.00000000,0.57500000
4.36728239,0.00000000,0.57583333
4.36646652,0.00000000,0.57666667
4.36467123,0.00000000,0.57750000
4.36136150,0.00000000,0.57833333
4.36129093,0.00000000,0.57916667
4.34523392,0.00000000,0.58000000
4.33862209,0.00000000,0.58083333
4.33726692,0.00000000,0.58166667
4.33564806,0.00000000,0.58250000
4.32533407,0.00000000,0.58333333
4.32393932,0.00000000,0.58416667
4.32033682,0.00000000,0.58500000
4.31737852,0.00000000,0.58583333
4.31495047,0.00000000,0.58666667
4.31408072,0.00000000,0.58750000
4.30628681,0.00000000,0.58833333
4.30549812,0.00000000,0.58916667
4.30492783,0.00000000,0.59000000
4.30344868,0.00000000,0.59083333
4.28609371,0.00000000,0.59166667
4.28586054,0.00000000,0.59250000
4.27288485,0.00000000,0.59333333
4.27128649,0.00000000,0.59416667
4.26683140,0.00000000,0.59500000
4.26588917,0.00000000,0.59583333
4.25842714,0.00000000,0.59666667
4.25363970,0.00000000,0.59750000
4.24486542,0.00000000,0.59833333
4.24422741,0.00000000,0.59916667
4.24082232,0.00000000,0.60000000
4.23910332,0.00000000,0.60083333
4.23606253,0.00000000,0.60166667
4.23012400,0.00000000,0.60250000
4.22911930,0.00000000,0.60333333
4.21077251,0.00000000,0.60416667
4.20277214,0.00000000,0.60500000
4.20167112,0.00000000,0.60583333
4.19886541,0.00000000,0.60666667
4.18577003,0.00000000,0.60750000
4.18154526,0.00000000,0.60833333
4.17879915,0.00000000,0.60916667
4.17545652,0.00000000,0.61000000
4.16971636,0.00000000,0.61083333
4.16337299,0.00000000,0.61166667
4.15189314,0.00000000,0.61250000
4.14070272,0.00000000,0.61333333
4.14018202,0.00000000,0.61416667
4.13838863,0.00000000,0.61500000
4.13781643,0.00000000,0.61583333
4.13659334,0.00000000,0.61666667
4.13646460,0.00000000,0.61750000
4.11559677,0.00000000,0.61833333
4.10839128,0.00000000,0.61916667
4.10454130,0.00000000,0.62000000
4.10075998,0.00000000,0.62083333
4.08853149,0.00000000,0.62166667
4.08838081,0.00000000,0.62250000
4.08793163,0.00000000,0.62333333
4.08532095,0.00000000,0.62416667
4.08330727,0.00000000,0.62500000
4.07287550,0.00000000,0.62583333
4.07078600,0.00000000,0.62666667
4.06881094,0.00000000,0.62750000
4.06088972,0.00000000,0.62833333
4.05747080,0.00000000,0.62916667
4.05458593,0.00000000,0.63000000
4.04313517,0.00000000,0.63083333
4.04206228,0.00000000,0.63166667
4.03821659,0.00000000,0.63250000
4.03786039,0.00000000,0.63333333
4.03455830,0.00000000,0.63416667
4.03318071,0.00000000,0.63500000
4.03202724,0.00000000,0.63583333
4.03030443,0.00000000,0.63666667
4.02762079,0.00000000,0.63750000
4.02742910,0.00000000,0.63833333
4.02175236,0.00000000,0.63916667
4.01355696,0.00000000,0.64000000
4.01298046,0.00000000,0.64083333
3.99868393,0.00000000,0.64166667
3.99555278,0.00000000,0.64250000
3.99404573,0.00000000,0.64333333
